Album,Artist,Track ID,Track Name,Track URI,acousticness,danceability,popularity,speechiness,valence,liveness,instrumentalness,mode,energy
Pigeons & Planes presents: See You Next Year 2,Kenny Mason,1P2ugR200fs2J3ASKUAIMg,Bob Dylan Bus (feat. King Isis),spotify:track:1P2ugR200fs2J3ASKUAIMg,0.111,0.491,48,0.0432,0.644,0.59,0.159,1,0.41
MERCEDES (feat. Oscar Maydon),Becky G,0pkiYzXyU58nKV74xsAuwW,MERCEDES (feat. Oscar Maydon),spotify:track:0pkiYzXyU58nKV74xsAuwW,0.383,0.762,31,0.0331,0.934,0.216,3.85E-6,0,0.815
Through the Smoke,Nate Smith,5Rhs0uawH5KuifdWtphGN2,Wish I Never Felt,spotify:track:5Rhs0uawH5KuifdWtphGN2,9.82E-4,0.595,63,0.0312,0.537,0.137,0.0,1,0.788
COWBOY CARTER,Beyoncé,3wcZlxfu4i6TROB5YV83wh,THE LINDA MARTELL SHOW,spotify:track:3wcZlxfu4i6TROB5YV83wh,0.781,0.489,48,0.917,0.925,0.93,0.0,0,0.556
genre : sadboy,mgk,4kXOuF3EGVS3YGrpbfdT3n,beauty,spotify:track:4kXOuF3EGVS3YGrpbfdT3n,0.0354,0.762,73,0.0342,0.291,0.096,2.86E-5,0,0.693
COWBOY CARTER,Beyoncé,2UDARQiksl207HcSduDpov,LEVII'S JEANS,spotify:track:2UDARQiksl207HcSduDpov,0.302,0.755,84,0.0359,0.325,0.121,2.71E-6,1,0.43
garage sale,BETWEEN FRIENDS,7kPmopA5z3fOIyxhC6TgmE,Drive over me,spotify:track:7kPmopA5z3fOIyxhC6TgmE,0.0228,0.674,"",0.0647,0.773,0.348,0.0,1,0.894
COWBOY CARTER,Beyoncé,1LSWDkZxVngIpfjvMs6Q56,ALLIIGATOR TEARS,spotify:track:1LSWDkZxVngIpfjvMs6Q56,0.202,0.618,81,0.0822,0.656,0.237,0.0,1,0.651
genre : sadboy,mgk,4D8EGc1HnJRnrbFWujFDyY,struggles,spotify:track:4D8EGc1HnJRnrbFWujFDyY,0.0945,0.822,69,0.0279,0.489,0.333,0.0,1,0.643
Silence Is Loud,Nia Archives,79fu6pXCo48UYgKtvavzDI,Unfinished Business,spotify:track:79fu6pXCo48UYgKtvavzDI,0.0171,0.568,"",0.181,0.534,0.101,8.67E-4,1,0.876
"NASHVILLE, TENNESSEE",ERNEST,1rfAfRlb5Rizxxt175uUME,Dollar To Cash,spotify:track:1rfAfRlb5Rizxxt175uUME,0.0679,0.571,"",0.027,0.585,0.218,8.39E-5,1,0.754
Scarlet 2 CLAUDE,Doja Cat,6BUyevrKUVyXwk1kRMFEU0,Shutcho,spotify:track:6BUyevrKUVyXwk1kRMFEU0,0.0343,0.763,54,0.11,0.409,0.132,0.0,1,0.441
