album_name,artists,name,popularity,release_date,track_duration,track_id
WE STILL DON'T TRUST YOU,Future,Always Be My Fault,71,2024-04-12,246666,1FIwzmULOKGNmo5bOJqW0P
Endiamantado / Entre las de 20,Bizarrap,Entre las de 20,82,2024-04-03,168511,3184c0tjCakg9oaNZYJODD
COWBOY CARTER,Beyoncé,SPAGHETTII,83,2024-03-29,158477,5UcUppRaEIBMIHXiUFl7LI
Might Delete Later,J. Cole,Trae The Truth in Ibiza,76,2024-04-05,255440,4E2fOeF5A6onC10OtnjXJa
I'M DOING IT AGAIN BABY!,girl in red,Too Much,61,2024-04-12,183473,49oNAMh9RBScs4HXZJgvgl
Mood Swings,Marcus King,F*ck My Life Up Again,50,2024-04-05,258626,0Jw0GvrJl8QIvY28wjAkdY
MANIFESTING 20-05,Feid,No Digas Na,73,2024-04-10,208386,2iPoYcC5x7gylwRyCwzFxI
Bad For Me,Chayce Beckham,Bad For Me,41,2024-04-05,204720,0c7fhqwyv9bvdOhHBSkQib
Ehhthang Ehhthang,GloRilla,Finesse Da Glo (feat. Finesse2Tymes),63,2024-04-05,142702,1nKgk560ybSt7eZLtFAa9p
un mechón de pelo,TINI,bien,64,2024-04-11,172909,7iqWxH5QBMBKOPV8PzU482
Older,Lizzy McAlpine,Vortex,65,2024-04-05,343360,7ySoma7tOtUTPSELihpcko
Older,Lizzy McAlpine,Staying,65,2024-04-05,151653,3tcCT8WhAIeRW2Ey9M4bL5
Strong,Tyler Hubbard,Strong,38,2024-04-12,176426,2OSQ9bmwVST63xuoqZfpbr
WE STILL DON'T TRUST YOU,Future,Drink N Dance,76,2024-04-12,220626,0SdpzQRdK8BdSV57rn6AZZ
I'M DOING IT AGAIN BABY!,girl in red,DOING IT AGAIN BABY,58,2024-04-12,145272,6LK3rmeoEfVYtH8B6qbwZg
NASHVILLE TENNESSEE,ERNEST,Never Said I Love You,46,2024-04-12,254662,3TNVeSrxyXQoHmwmjYefRz
Fireworks & Rollerblades,Benson Boone,Hello Love,69,2024-04-05,208420,6VyWsk3qiz8NmHUEyVobQb
Through the Smoke,Nate Smith,Here's To Hometowns,54,2024-04-05,221423,2N9Z9TGnBeOYrjtyc9oJAF
Bad For Me,Chayce Beckham,Drink You Off My Mind,41,2024-04-05,211995,4QLQakIfGYdSBtkTKMYZmu
Forever To Me,Cole Swindell,3 Feet Tall,43,2024-04-12,222906,2j3HIMVaepfCQtS6EE7NV5
Mood Swings,Marcus King,Me Or Tennessee,44,2024-04-05,262280,3kradCzPXgyS4BuZGgrGuH
COWBOY CARTER,Beyoncé,DAUGHTER,83,2024-03-29,203851,0hWCzWl04zT7P6vMy63XCN
WE STILL DON'T TRUST YOU,Future,Beat It,73,2024-04-12,218213,7lsepdNR69a3PS9pWMNICd
Silence Is Loud,Nia Archives,Tell Me What It’s Like?,43,2024-04-12,190298,5UMyFKs2A333NMYD6sdIc0
Fireworks & Rollerblades,Benson Boone,Ghost Town,71,2024-04-05,193733,6HuHyXviAdpmnQu73JHfBz
I'M DOING IT AGAIN BABY!,girl in red,I'm Back,65,2024-04-12,179791,0tduSYti0mY7p8j5AIO4Pg
COWBOY CARTER,Beyoncé,ALLIIGATOR TEARS,81,2024-03-29,179397,1LSWDkZxVngIpfjvMs6Q56
11:11 (Deluxe),Chris Brown,Feel Something,56,2024-04-11,192040,4kA2KmEZg6FudWdWQvkfow
Bryson Tiller,Bryson Tiller,Attention,71,2024-04-05,216043,7tr8SXmP9j0uVqUU0qoapb
CHILDREN OF THE SLUMS,Mozzy,FREE JUJU,0,2024-04-19,129649,1YgEF8icczgBJ99MB1PriB
11:11 (Deluxe),Chris Brown,Press Me,56,2024-04-11,127615,0K9zaYfKzNfNCkEHgggb5r
Strong,Tyler Hubbard,Wish You Would,41,2024-04-12,186417,4UdvVA89evbBrj6hnDa5oM
COWBOY CARTER,Beyoncé,FLAMENCO,80,2024-03-29,100364,3B7EZgquNKHrSIo2tEc8mK
Fireworks & Rollerblades,Benson Boone,In The Stars,74,2024-04-05,216410,315aBOUD3xtj7sUMXtRgMV
